Month,Subject,Count
Aug - 19,Astrophysics,0
Aug - 19,Astrophysics - Astrophysics of Galaxies,0
Aug - 19,Astrophysics - Cosmology and Nongalactic Astrophysics,0
Aug - 19,Astrophysics - Earth and Planetary Astrophysics,0
Aug - 19,Astrophysics - High Energy Astrophysical Phenomena,0
Aug - 19,Astrophysics - Instrumentation and Methods for Astrophysics,0
Aug - 19,Astrophysics - Solar and Stellar Astrophysics,0
Aug - 19,"Astrophysics of Galaxies (astro-ph.GA), Cosmology and Nongalactic\n  Astrophysics (astro-ph.CO)",0
Aug - 19,Computer Science - Artificial Intelligence,0
Aug - 19,Computer Science - Computation and Language,0
Aug - 19,Computer Science - Computational Complexity,0
Aug - 19,"Computer Science - Computational Engineering, Finance, and Science",0
Aug - 19,Computer Science - Computational Geometry,0
Aug - 19,Computer Science - Computer Vision and Pattern Recognition,0
Aug - 19,Computer Science - Computers and Society,0
Aug - 19,Computer Science - Data Structures and Algorithms,0
Aug - 19,Computer Science - Databases,0
Aug - 19,Computer Science - Digital Libraries,0
Aug - 19,Computer Science - Discrete Mathematics,0
Aug - 19,"Computer Science - Distributed, Parallel, and Cluster Computing",0
Aug - 19,Computer Science - Human-Computer Interaction,0
Aug - 19,Computer Science - Information Theory,0
Aug - 19,Computer Science - Machine Learning,0
Aug - 19,Computer Science - Mathematical Software,0
Aug - 19,Computer Science - Multimedia,0
Aug - 19,Computer Science - Networking and Internet Architecture,0
Aug - 19,Computer Science - Neural and Evolutionary Computing,0
Aug - 19,Computer Science - Operating Systems,0
Aug - 19,Computer Science - Other Computer Science,0
Aug - 19,Computer Science - Performance,0
Aug - 19,Computer Science - Programming Languages,0
Aug - 19,Computer Science - Robotics,0
Aug - 19,Computer Science - Software Engineering,0
Aug - 19,Computer Science - Sound,0
Aug - 19,Computer Science - Symbolic Computation,0
Aug - 19,Condensed Matter,0
Aug - 19,Condensed Matter - Disordered Systems and Neural Networks,0
Aug - 19,Condensed Matter - Materials Science,0
Aug - 19,Condensed Matter - Mesoscale and Nanoscale Physics,0
Aug - 19,Condensed Matter - Other Condensed Matter,0
Aug - 19,Condensed Matter - Quantum Gases,0
Aug - 19,Condensed Matter - Soft Condensed Matter,0
Aug - 19,Condensed Matter - Statistical Mechanics,0
Aug - 19,Condensed Matter - Strongly Correlated Electrons,0
Aug - 19,Condensed Matter - Superconductivity,0
Aug - 19,Electrical Engineering and Systems Science - Audio and Speech Processing,0
Aug - 19,Electrical Engineering and Systems Science - Image and Video Processing,0
Aug - 19,Electrical Engineering and Systems Science - Signal Processing,0
Aug - 19,Electrical Engineering and Systems Science - Systems and Control,0
Aug - 19,General Relativity and Quantum Cosmology,0
Aug - 19,High Energy Physics - Experiment,0
Aug - 19,High Energy Physics - Lattice,0
Aug - 19,High Energy Physics - Phenomenology,0
Aug - 19,High Energy Physics - Theory,0
Aug - 19,Mathematical Physics,0
Aug - 19,Mathematics - Algebraic Geometry,0
Aug - 19,Mathematics - Algebraic Topology,0
Aug - 19,Mathematics - Analysis of PDEs,0
Aug - 19,Mathematics - Classical Analysis and ODEs,0
Aug - 19,Mathematics - Combinatorics,0
Aug - 19,Mathematics - Complex Variables,0
Aug - 19,Mathematics - Differential Geometry,0
Aug - 19,Mathematics - Dynamical Systems,0
Aug - 19,Mathematics - General Topology,0
Aug - 19,Mathematics - Geometric Topology,0
Aug - 19,Mathematics - History and Overview,0
Aug - 19,Mathematics - Logic,0
Aug - 19,Mathematics - Numerical Analysis,0
Aug - 19,Mathematics - Optimization and Control,0
Aug - 19,Mathematics - Probability,0
Aug - 19,Mathematics - Statistics Theory,0
Aug - 19,Mathematics - Symplectic Geometry,0
Aug - 19,Nonlinear Sciences - Adaptation and Self-Organizing Systems,0
Aug - 19,Nonlinear Sciences - Cellular Automata and Lattice Gases,0
Aug - 19,Nonlinear Sciences - Chaotic Dynamics,0
Aug - 19,Nonlinear Sciences - Pattern Formation and Solitons,0
Aug - 19,Nuclear Experiment,0
Aug - 19,Nuclear Theory,0
Aug - 19,Physics - Accelerator Physics,0
Aug - 19,Physics - Applied Physics,0
Aug - 19,Physics - Atmospheric and Oceanic Physics,0
Aug - 19,Physics - Atomic Physics,0
Aug - 19,Physics - Atomic and Molecular Clusters,0
Aug - 19,Physics - Biological Physics,0
Aug - 19,Physics - Chemical Physics,0
Aug - 19,Physics - Classical Physics,0
Aug - 19,Physics - Computational Physics,0
Aug - 19,"Physics - Data Analysis, Statistics and Probability",0
Aug - 19,Physics - Fluid Dynamics,0
Aug - 19,Physics - General Physics,0
Aug - 19,Physics - Geophysics,0
Aug - 19,Physics - History and Philosophy of Physics,0
Aug - 19,Physics - Instrumentation and Detectors,0
Aug - 19,Physics - Medical Physics,0
Aug - 19,Physics - Optics,0
Aug - 19,Physics - Physics Education,0
Aug - 19,Physics - Physics and Society,0
Aug - 19,Physics - Plasma Physics,0
Aug - 19,Physics - Popular Physics,0
Aug - 19,Physics - Space Physics,0
Aug - 19,Quantitative Biology - Biomolecules,0
Aug - 19,Quantitative Biology - Neurons and Cognition,0
Aug - 19,Quantitative Biology - Other Quantitative Biology,0
Aug - 19,Quantitative Biology - Populations and Evolution,0
Aug - 19,Quantitative Biology - Quantitative Methods,0
Aug - 19,Quantitative Finance - Statistical Finance,0
Aug - 19,Quantum Physics,0
Aug - 19,Statistics - Applications,0
Aug - 19,Statistics - Computation,0
Aug - 19,Statistics - Machine Learning,0
Aug - 19,Statistics - Methodology,0
Aug - 19,Statistics - Other Statistics,0
Sept - 19,Astronomy and Astrophysics,0
Sept - 19,Astrophysics,0
Sept - 19,Astrophysics - Astrophysics of Galaxies,0
Sept - 19,Astrophysics - Cosmology and Nongalactic Astrophysics,0
Sept - 19,Astrophysics - Earth and Planetary Astrophysics,0
Sept - 19,Astrophysics - High Energy Astrophysical Phenomena,0
Sept - 19,Astrophysics - Instrumentation and Methods for Astrophysics,0
Sept - 19,Astrophysics - Solar and Stellar Astrophysics,0
Sept - 19,"Astrophysics of Galaxies (astro-ph.GA), Cosmology and Nongalactic\n  Astrophysics (astro-ph.CO)",0
Sept - 19,Computer Science - Artificial Intelligence,0
Sept - 19,Computer Science - Computation and Language,0
Sept - 19,Computer Science - Computational Complexity,0
Sept - 19,"Computer Science - Computational Engineering, Finance, and Science",0
Sept - 19,Computer Science - Computational Geometry,0
Sept - 19,Computer Science - Computer Vision and Pattern Recognition,0
Sept - 19,Computer Science - Computers and Society,0
Sept - 19,Computer Science - Data Structures and Algorithms,0
Sept - 19,Computer Science - Databases,0
Sept - 19,Computer Science - Digital Libraries,0
Sept - 19,Computer Science - Discrete Mathematics,0
Sept - 19,"Computer Science - Distributed, Parallel, and Cluster Computing",0
Sept - 19,Computer Science - Human-Computer Interaction,0
Sept - 19,Computer Science - Information Theory,0
Sept - 19,Computer Science - Machine Learning,0
Sept - 19,Computer Science - Mathematical Software,0
Sept - 19,Computer Science - Multimedia,0
Sept - 19,Computer Science - Networking and Internet Architecture,0
Sept - 19,Computer Science - Neural and Evolutionary Computing,0
Sept - 19,Computer Science - Operating Systems,0
Sept - 19,Computer Science - Other Computer Science,0
Sept - 19,Computer Science - Performance,0
Sept - 19,Computer Science - Programming Languages,0
Sept - 19,Computer Science - Robotics,0
Sept - 19,Computer Science - Software Engineering,0
Sept - 19,Computer Science - Sound,0
Sept - 19,Computer Science - Symbolic Computation,0
Sept - 19,Condensed Matter,0
Sept - 19,Condensed Matter - Disordered Systems and Neural Networks,0
Sept - 19,Condensed Matter - Materials Science,0
Sept - 19,Condensed Matter - Mesoscale and Nanoscale Physics,0
Sept - 19,Condensed Matter - Other Condensed Matter,0
Sept - 19,Condensed Matter - Quantum Gases,0
Sept - 19,Condensed Matter - Soft Condensed Matter,0
Sept - 19,Condensed Matter - Statistical Mechanics,0
Sept - 19,Condensed Matter - Strongly Correlated Electrons,0
Sept - 19,Condensed Matter - Superconductivity,0
Sept - 19,Electrical Engineering and Systems Science - Audio and Speech Processing,0
Sept - 19,Electrical Engineering and Systems Science - Image and Video Processing,0
Sept - 19,Electrical Engineering and Systems Science - Signal Processing,0
Sept - 19,Electrical Engineering and Systems Science - Systems and Control,0
Sept - 19,General Relativity and Quantum Cosmology,0
Sept - 19,High Energy Physics - Experiment,0
Sept - 19,High Energy Physics - Lattice,0
Sept - 19,High Energy Physics - Phenomenology,0
Sept - 19,High Energy Physics - Theory,0
Sept - 19,Mathematical Physics,0
Sept - 19,Mathematics - Algebraic Geometry,0
Sept - 19,Mathematics - Algebraic Topology,0
Sept - 19,Mathematics - Analysis of PDEs,0
Sept - 19,Mathematics - Classical Analysis and ODEs,0
Sept - 19,Mathematics - Combinatorics,0
Sept - 19,Mathematics - Complex Variables,0
Sept - 19,Mathematics - Differential Geometry,0
Sept - 19,Mathematics - Dynamical Systems,0
Sept - 19,Mathematics - General Topology,0
Sept - 19,Mathematics - Geometric Topology,0
Sept - 19,Mathematics - History and Overview,0
Sept - 19,Mathematics - Logic,0
Sept - 19,Mathematics - Numerical Analysis,0
Sept - 19,Mathematics - Optimization and Control,0
Sept - 19,Mathematics - Probability,0
Sept - 19,Mathematics - Statistics Theory,0
Sept - 19,Mathematics - Symplectic Geometry,0
Sept - 19,Nonlinear Sciences - Adaptation and Self-Organizing Systems,0
Sept - 19,Nonlinear Sciences - Cellular Automata and Lattice Gases,0
Sept - 19,Nonlinear Sciences - Chaotic Dynamics,0
Sept - 19,Nonlinear Sciences - Pattern Formation and Solitons,0
Sept - 19,Nuclear Experiment,0
Sept - 19,Nuclear Theory,0
Sept - 19,Physics - Accelerator Physics,0
Sept - 19,Physics - Applied Physics,0
Sept - 19,Physics - Atmospheric and Oceanic Physics,0
Sept - 19,Physics - Atomic Physics,0
Sept - 19,Physics - Atomic and Molecular Clusters,0
Sept - 19,Physics - Biological Physics,0
Sept - 19,Physics - Chemical Physics,0
Sept - 19,Physics - Classical Physics,0
Sept - 19,Physics - Computational Physics,0
Sept - 19,"Physics - Data Analysis, Statistics and Probability",0
Sept - 19,Physics - Fluid Dynamics,0
Sept - 19,Physics - General Physics,0
Sept - 19,Physics - Geophysics,0
Sept - 19,Physics - History and Philosophy of Physics,0
Sept - 19,Physics - Instrumentation and Detectors,0
Sept - 19,Physics - Medical Physics,0
Sept - 19,Physics - Optics,0
Sept - 19,Physics - Physics Education,0
Sept - 19,Physics - Physics and Society,0
Sept - 19,Physics - Plasma Physics,0
Sept - 19,Physics - Popular Physics,0
Sept - 19,Physics - Space Physics,0
Sept - 19,Quantitative Biology - Biomolecules,0
Sept - 19,Quantitative Biology - Neurons and Cognition,0
Sept - 19,Quantitative Biology - Other Quantitative Biology,0
Sept - 19,Quantitative Biology - Populations and Evolution,0
Sept - 19,Quantitative Biology - Quantitative Methods,0
Sept - 19,Quantitative Finance - Statistical Finance,0
Sept - 19,Quantum Physics,0
Sept - 19,Statistics - Applications,0
Sept - 19,Statistics - Computation,0
Sept - 19,Statistics - Machine Learning,0
Sept - 19,Statistics - Methodology,0
Sept - 19,Statistics - Other Statistics,0
Oct - 19,Astronomy and Astrophysics,0
Oct - 19,Astrophysics,0
Oct - 19,Astrophysics - Astrophysics of Galaxies,0
Oct - 19,Astrophysics - Cosmology and Nongalactic Astrophysics,0
Oct - 19,Astrophysics - Earth and Planetary Astrophysics,0
Oct - 19,Astrophysics - High Energy Astrophysical Phenomena,0
Oct - 19,Astrophysics - Instrumentation and Methods for Astrophysics,0
Oct - 19,Astrophysics - Solar and Stellar Astrophysics,0
Oct - 19,"Astrophysics of Galaxies (astro-ph.GA), Cosmology and Nongalactic\n  Astrophysics (astro-ph.CO)",0
Oct - 19,Computer Science - Artificial Intelligence,0
Oct - 19,Computer Science - Computation and Language,0
Oct - 19,Computer Science - Computational Complexity,0
Oct - 19,"Computer Science - Computational Engineering, Finance, and Science",0
Oct - 19,Computer Science - Computational Geometry,0
Oct - 19,Computer Science - Computer Vision and Pattern Recognition,0
Oct - 19,Computer Science - Computers and Society,0
Oct - 19,Computer Science - Data Structures and Algorithms,0
Oct - 19,Computer Science - Databases,0
Oct - 19,Computer Science - Digital Libraries,0
Oct - 19,Computer Science - Discrete Mathematics,0
Oct - 19,"Computer Science - Distributed, Parallel, and Cluster Computing",0
Oct - 19,Computer Science - Human-Computer Interaction,0
Oct - 19,Computer Science - Information Theory,0
Oct - 19,Computer Science - Machine Learning,0
Oct - 19,Computer Science - Mathematical Software,0
Oct - 19,Computer Science - Multimedia,0
Oct - 19,Computer Science - Networking and Internet Architecture,0
Oct - 19,Computer Science - Neural and Evolutionary Computing,0
Oct - 19,Computer Science - Operating Systems,0
Oct - 19,Computer Science - Other Computer Science,0
Oct - 19,Computer Science - Performance,0
Oct - 19,Computer Science - Programming Languages,0
Oct - 19,Computer Science - Robotics,0
Oct - 19,Computer Science - Software Engineering,0
Oct - 19,Computer Science - Sound,0
Oct - 19,Computer Science - Symbolic Computation,0
Oct - 19,Condensed Matter,0
Oct - 19,Condensed Matter - Disordered Systems and Neural Networks,0
Oct - 19,Condensed Matter - Materials Science,0
Oct - 19,Condensed Matter - Mesoscale and Nanoscale Physics,0
Oct - 19,Condensed Matter - Other Condensed Matter,0
Oct - 19,Condensed Matter - Quantum Gases,0
Oct - 19,Condensed Matter - Soft Condensed Matter,0
Oct - 19,Condensed Matter - Statistical Mechanics,0
Oct - 19,Condensed Matter - Strongly Correlated Electrons,0
Oct - 19,Condensed Matter - Superconductivity,0
Oct - 19,Electrical Engineering and Systems Science - Audio and Speech Processing,0
Oct - 19,Electrical Engineering and Systems Science - Image and Video Processing,0
Oct - 19,Electrical Engineering and Systems Science - Signal Processing,0
Oct - 19,Electrical Engineering and Systems Science - Systems and Control,0
Oct - 19,General Relativity and Quantum Cosmology,0
Oct - 19,High Energy Physics - Experiment,0
Oct - 19,High Energy Physics - Lattice,0
Oct - 19,High Energy Physics - Phenomenology,0
Oct - 19,High Energy Physics - Theory,0
Oct - 19,Mathematical Physics,0
Oct - 19,Mathematics - Algebraic Geometry,0
Oct - 19,Mathematics - Algebraic Topology,0
Oct - 19,Mathematics - Analysis of PDEs,0
Oct - 19,Mathematics - Classical Analysis and ODEs,0
Oct - 19,Mathematics - Combinatorics,0
Oct - 19,Mathematics - Complex Variables,0
Oct - 19,Mathematics - Differential Geometry,0
Oct - 19,Mathematics - Dynamical Systems,0
Oct - 19,Mathematics - General Topology,0
Oct - 19,Mathematics - Geometric Topology,0
Oct - 19,Mathematics - History and Overview,0
Oct - 19,Mathematics - Logic,0
Oct - 19,Mathematics - Numerical Analysis,0
Oct - 19,Mathematics - Optimization and Control,0
Oct - 19,Mathematics - Probability,0
Oct - 19,Mathematics - Statistics Theory,0
Oct - 19,Mathematics - Symplectic Geometry,0
Oct - 19,Nonlinear Sciences - Adaptation and Self-Organizing Systems,0
Oct - 19,Nonlinear Sciences - Cellular Automata and Lattice Gases,0
Oct - 19,Nonlinear Sciences - Chaotic Dynamics,0
Oct - 19,Nonlinear Sciences - Pattern Formation and Solitons,0
Oct - 19,Nuclear Experiment,0
Oct - 19,Nuclear Theory,0
Oct - 19,Physics - Accelerator Physics,0
Oct - 19,Physics - Applied Physics,0
Oct - 19,Physics - Atmospheric and Oceanic Physics,0
Oct - 19,Physics - Atomic Physics,0
Oct - 19,Physics - Atomic and Molecular Clusters,0
Oct - 19,Physics - Biological Physics,0
Oct - 19,Physics - Chemical Physics,0
Oct - 19,Physics - Classical Physics,0
Oct - 19,Physics - Computational Physics,0
Oct - 19,"Physics - Data Analysis, Statistics and Probability",0
Oct - 19,Physics - Fluid Dynamics,0
Oct - 19,Physics - General Physics,0
Oct - 19,Physics - Geophysics,0
Oct - 19,Physics - History and Philosophy of Physics,0
Oct - 19,Physics - Instrumentation and Detectors,0
Oct - 19,Physics - Medical Physics,0
Oct - 19,Physics - Optics,0
Oct - 19,Physics - Physics Education,0
Oct - 19,Physics - Physics and Society,0
Oct - 19,Physics - Plasma Physics,0
Oct - 19,Physics - Popular Physics,0
Oct - 19,Physics - Space Physics,0
Oct - 19,Quantitative Biology - Biomolecules,0
Oct - 19,Quantitative Biology - Neurons and Cognition,0
Oct - 19,Quantitative Biology - Other Quantitative Biology,0
Oct - 19,Quantitative Biology - Populations and Evolution,0
Oct - 19,Quantitative Biology - Quantitative Methods,0
Oct - 19,Quantitative Finance - Statistical Finance,0
Oct - 19,Quantum Physics,0
Oct - 19,Statistics - Applications,0
Oct - 19,Statistics - Computation,0
Oct - 19,Statistics - Machine Learning,0
Oct - 19,Statistics - Methodology,0
Oct - 19,Statistics - Other Statistics,0
